Season,Climate,City,Building type,Cooling startegy,Age,Sex,Thermal sensation,Thermal sensation acceptability ,Thermal preference,Air movement preference,PMV,PPD,Clo,Met,Air temperature (°C),Relative humidity (%),Air velocity (m/s),Outdoor monthly air temperature (°C)
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-2.0,1.0,Warmer,no change,0.3,7.0,0.75,1.0,25.2,64.0,0.1,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,No Change,no change,0.1,5.0,0.64,1.0,25.2,64.0,0.1,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-2.0,1.0,No Change,no change,0.1,5.0,0.64,1.0,25.2,64.0,0.1,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-2.0,1.0,No Change,less,0.3,7.0,0.75,1.0,25.2,64.0,0.1,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,1.0,Warmer,more,0.2,6.0,0.72,1.0,25.2,64.0,0.1,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,No Change,more,0.2,6.0,0.72,1.0,25.2,64.0,0.1,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,1.0,No Change,no change,0.1,5.0,0.64,1.0,25.2,64.0,0.1,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,2.0,1.0,Cooler,more,1.1,32.0,0.97,1.0,26.9,63.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,Cooler,more,0.7,17.0,0.66,1.0,26.9,63.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,2.0,0.0,Cooler,more,0.8,20.0,0.72,1.0,26.9,63.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,1.0,No Change,more,0.7,16.0,0.64,1.0,26.9,63.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,1.0,0.0,Cooler,more,0.8,20.0,0.72,1.0,26.9,63.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,1.0,No Change,more,0.8,20.0,0.72,1.0,26.9,63.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,0.0,Cooler,more,0.8,20.0,0.72,1.0,26.9,63.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-2.0,1.0,Warmer,more,0.4,8.0,0.7,1.0,26.9,59.0,0.21,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-2.0,1.0,Cooler,more,0.4,8.0,0.7,1.0,26.9,59.0,0.21,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,1.0,Cooler,more,0.4,9.0,0.72,1.0,26.9,59.0,0.21,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,Warmer,less,0.4,9.0,0.72,1.0,26.9,59.0,0.21,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,2.0,1.0,Cooler,more,0.8,17.0,0.72,1.2,26.9,59.0,0.21,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,1.0,1.0,Cooler,more,0.8,19.0,0.72,1.2,26.4,59.0,0.21,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,0.0,Warmer,more,0.8,17.0,0.72,1.2,26.9,59.0,0.21,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,1.0,Cooler,no change,0.8,17.0,0.72,1.2,26.9,59.0,0.21,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,1.0,Warmer,less,0.8,17.0,0.72,1.2,26.9,59.0,0.21,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,2.0,1.0,Cooler,more,0.7,16.0,0.7,1.2,26.9,59.0,0.21,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,1.0,1.0,Cooler,more,0.4,9.0,0.72,1.0,26.9,59.0,0.21,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,1.0,Cooler,more,0.4,8.0,0.7,1.0,26.9,59.0,0.21,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,1.0,No Change,less,-0.5,11.0,0.72,1.0,25.8,60.0,0.37,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,0.0,Warmer,more,-0.6,12.0,0.7,1.0,25.8,60.0,0.37,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,No Change,more,-0.8,19.0,0.62,1.0,25.8,60.0,0.37,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,2.0,0.0,Cooler,more,-0.5,11.0,0.72,1.0,25.8,60.0,0.37,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,0.0,Cooler,more,0.3,6.0,0.72,1.0,26.4,60.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,Warmer,more,0.3,6.0,0.72,1.0,26.4,60.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,1.0,0.0,Cooler,more,0.3,6.0,0.72,1.0,26.4,60.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,1.0,Cooler,more,0.3,6.0,0.72,1.0,26.4,60.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,Warmer,more,0.2,6.0,0.7,1.0,26.4,60.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,1.0,0.0,Cooler,more,0.3,6.0,0.72,1.0,26.4,60.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,1.0,Cooler,more,0.3,6.0,0.72,1.0,26.4,60.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,1.0,Cooler,no change,-0.1,5.0,0.72,1.0,24.7,58.0,0.14,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,Warmer,no change,-0.1,5.0,0.72,1.0,24.7,58.0,0.14,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,0.0,Cooler,more,-0.1,5.0,0.72,1.0,24.7,58.0,0.14,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,Warmer,more,-0.1,5.0,0.72,1.0,24.7,58.0,0.14,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,1.0,No Change,no change,0.6,12.0,0.66,1.0,26.8,48.0,0.01,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,1.0,1.0,Cooler,no change,0.5,11.0,0.64,1.0,26.8,48.0,0.01,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,Warmer,more,0.5,11.0,0.64,1.0,26.8,48.0,0.01,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,1.0,1.0,No Change,no change,0.5,11.0,0.64,1.0,26.8,48.0,0.01,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-2.0,1.0,No Change,no change,0.9,21.0,0.9,1.0,26.8,48.0,0.01,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-1.0,1.0,Warmer,no change,0.8,19.0,0.84,1.0,26.8,48.0,0.01,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-1.0,1.0,Warmer,more,0.8,19.0,0.84,1.0,26.8,48.0,0.01,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-2.0,1.0,Warmer,less,0.5,11.0,0.64,1.0,26.8,48.0,0.01,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-2.0,1.0,Warmer,more,0.2,6.0,0.84,1.0,26.3,49.0,0.25,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,3.0,1.0,Cooler,more,0.4,9.0,0.97,1.0,26.3,49.0,0.25,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-1.0,1.0,Warmer,more,0.1,5.0,0.75,1.0,26.3,49.0,0.25,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,2.0,1.0,Cooler,more,0.1,5.0,0.75,1.0,26.3,49.0,0.25,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,3.0,0.0,Cooler,more,0.3,7.0,0.68,1.2,26.3,49.0,0.25,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,0.0,1.0,Cooler,more,0.2,6.0,0.84,1.0,26.3,49.0,0.25,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-1.0,1.0,Warmer,more,0.3,7.0,0.9,1.0,26.3,49.0,0.25,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-1.0,1.0,Warmer,more,0.1,5.0,0.75,1.0,25.2,43.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,1.0,1.0,Cooler,more,0.1,5.0,0.75,1.0,25.2,43.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-2.0,0.0,Warmer,less,0.1,5.0,0.75,1.0,25.2,43.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-1.0,1.0,No Change,less,0.4,8.0,0.9,1.0,25.2,43.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-2.0,1.0,Warmer,more,0.1,5.0,0.75,1.0,25.2,43.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-2.0,1.0,Warmer,more,0.1,5.0,0.75,1.0,25.2,43.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,No Change,no change,0.1,5.0,0.7,1.0,25.2,43.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,1.0,No Change,no change,-0.1,5.0,0.64,1.0,25.2,43.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,1.0,No Change,more,0.1,5.0,0.72,1.0,25.2,43.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,1.0,0.0,Cooler,more,1.5,50.0,0.72,1.0,30.2,60.0,0.51,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,3.0,0.0,Cooler,more,1.5,50.0,0.72,1.0,30.2,60.0,0.51,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,2.0,1.0,Cooler,no change,1.5,49.0,0.7,1.0,30.2,60.0,0.51,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,2.0,1.0,Cooler,no change,1.5,50.0,0.72,1.0,30.2,60.0,0.51,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-1.0,1.0,No Change,less,1.5,50.0,0.72,1.0,30.2,60.0,0.51,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,1.0,Cooler,no change,1.5,50.0,0.72,1.0,30.2,60.0,0.51,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Female,1.0,1.0,Cooler,less,1.7,64.0,0.97,1.0,30.2,60.0,0.51,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,0.0,Cooler,more,1.5,49.0,0.7,1.0,30.2,60.0,0.51,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,2.0,0.0,Cooler,less,1.5,49.0,0.7,1.0,30.2,60.0,0.51,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-2.0,1.0,Warmer,no change,0.4,8.0,0.64,1.0,26.7,67.0,0.17,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Female,-1.0,1.0,No Change,no change,0.9,22.0,0.97,1.0,26.7,67.0,0.17,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-1.0,1.0,Warmer,less,0.4,8.0,0.64,1.0,26.7,67.0,0.17,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,1.0,1.0,No Change,more,0.3,7.0,0.68,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-1.0,1.0,No Change,more,0.3,7.0,0.68,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Female,-1.0,1.0,Warmer,no change,0.5,11.0,0.82,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Female,-2.0,1.0,Warmer,more,0.5,11.0,0.82,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-2.0,1.0,Warmer,more,0.3,7.0,0.68,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Female,-1.0,1.0,No Change,no change,0.4,8.0,0.73,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-1.0,1.0,Warmer,no change,0.2,6.0,0.62,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-1.0,1.0,No Change,no change,0.2,6.0,0.62,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-1.0,1.0,No Change,more,0.2,6.0,0.62,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,0.0,No Change,more,0.2,6.0,0.62,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-2.0,1.0,Warmer,no change,0.2,6.0,0.62,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-1.0,0.0,Warmer,more,0.3,7.0,0.68,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,1.0,Cooler,more,0.3,7.0,0.68,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,1.0,1.0,Cooler,more,0.2,6.0,0.62,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,1.0,1.0,Cooler,no change,0.2,6.0,0.62,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,1.0,1.0,Cooler,more,0.2,6.0,0.62,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,1.0,1.0,No Change,no change,0.2,6.0,0.62,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-1.0,1.0,No Change,more,0.2,6.0,0.62,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,1.0,No Change,less,0.2,6.0,0.62,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-1.0,1.0,Warmer,more,0.2,6.0,0.62,1.0,26.3,51.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,1.0,No Change,more,-0.4,8.0,0.62,1.0,26.2,56.0,0.6,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,1.0,Cooler,more,-0.2,6.0,0.68,1.0,26.2,56.0,0.6,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,2.0,1.0,Cooler,no change,-0.4,8.0,0.62,1.0,26.2,56.0,0.6,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,2.0,1.0,Cooler,no change,-0.4,8.0,0.62,1.0,26.2,56.0,0.6,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,1.0,No Change,more,-0.4,8.0,0.62,1.0,26.2,56.0,0.6,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,1.0,No Change,more,-0.4,8.0,0.62,1.0,26.2,56.0,0.6,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-2.0,1.0,Warmer,no change,-0.2,6.0,0.68,1.0,26.2,56.0,0.6,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-1.0,1.0,Warmer,less,-0.4,8.0,0.62,1.0,26.2,56.0,0.6,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,0.0,No Change,less,-0.4,8.0,0.62,1.0,26.2,56.0,0.6,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Female,0.0,1.0,No Change,more,-0.4,8.0,0.62,1.0,26.2,56.0,0.6,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Female,-1.0,1.0,Warmer,less,0.8,20.0,0.75,1.0,27.9,55.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-1.0,1.0,Warmer,no change,0.7,14.0,0.64,1.0,27.9,55.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-1.0,1.0,No Change,no change,0.7,15.0,0.66,1.0,27.9,55.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-1.0,1.0,Warmer,more,1.5,52.0,0.51,2.0,27.9,55.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Female,-1.0,1.0,No Change,no change,1.6,59.0,0.69,2.0,27.9,55.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Female,0.0,1.0,Cooler,no change,1.0,26.0,0.84,1.0,28.2,48.0,0.16,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,1.0,0.0,Cooler,more,0.8,19.0,0.7,1.0,28.2,48.0,0.16,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,1.0,0.0,Cooler,more,0.8,19.0,0.7,1.0,28.2,48.0,0.16,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-2.0,1.0,Warmer,no change,0.8,19.0,0.7,1.0,28.2,48.0,0.16,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,2.0,1.0,Cooler,more,0.8,19.0,0.7,1.0,28.2,48.0,0.16,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Female,3.0,1.0,Cooler,more,0.9,22.0,0.77,1.0,28.2,48.0,0.16,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,1.0,Cooler,more,0.4,9.0,0.7,1.0,26.7,47.0,0.25,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,3.0,1.0,Cooler,more,0.4,9.0,0.7,1.0,26.7,47.0,0.25,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,1.0,Cooler,more,0.3,7.0,0.64,1.0,26.7,47.0,0.25,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,1.0,Cooler,more,0.3,7.0,0.64,1.0,26.7,47.0,0.25,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,0.0,No Change,no change,0.4,8.0,0.66,1.0,26.7,47.0,0.25,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Female,2.0,0.0,Cooler,more,0.8,18.0,0.73,1.0,27.4,51.0,0.1,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,1.0,Cooler,more,0.5,10.0,0.62,1.0,27.1,52.0,0.16,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,1.0,Cooler,more,0.6,12.0,0.62,1.0,26.8,53.0,0.03,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-1.0,1.0,Warmer,more,0.7,15.0,0.68,1.0,26.8,53.0,0.03,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,1.0,No Change,more,0.7,15.0,0.68,1.0,26.8,53.0,0.03,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Female,0.0,1.0,No Change,no change,0.8,18.0,0.73,1.0,27.1,55.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Female,-1.0,0.0,Warmer,no change,0.7,15.0,0.68,1.0,27.1,55.0,0.11,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,1.0,0.0,Cooler,more,0.2,6.0,0.62,1.0,25.8,66.0,0.16,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-2.0,1.0,No Change,more,0.2,6.0,0.62,1.0,25.8,66.0,0.16,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-1.0,1.0,No Change,more,0.2,6.0,0.62,1.0,25.8,66.0,0.16,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,-1.0,0.0,No Change,more,0.2,6.0,0.62,1.0,25.8,66.0,0.16,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,1.0,Warmer,more,0.2,6.0,0.62,1.0,25.8,66.0,0.16,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Female,1.0,1.0,No Change,no change,0.4,8.0,0.75,1.0,25.7,47.0,0.08,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,1.0,1.0,Cooler,more,0.2,6.0,0.64,1.0,25.7,47.0,0.08,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,1.0,No Change,more,0.2,6.0,0.64,1.0,25.7,47.0,0.08,30.8
Winter,Tropical wet savanna,Chennai,Office,Mixed Mode,,Male,0.0,1.0,No Change,no change,0.2,6.0,0.64,1.0,25.7,47.0,0.08,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-2.0,1.0,Warmer,no change,0.2,6.0,0.75,1.0,24.6,46.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-2.0,0.0,Warmer,no change,0.4,8.0,0.84,1.0,24.6,46.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,No Change,no change,0.0,5.0,0.62,1.0,24.6,46.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,Warmer,more,0.0,5.0,0.64,1.0,24.6,46.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,Warmer,more,0.0,5.0,0.64,1.0,24.6,46.0,0.02,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-2.0,1.0,Warmer,more,1.1,30.0,0.97,1.0,28.8,59.0,1.3,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,3.0,1.0,Cooler,more,0.6,14.0,0.72,1.0,28.8,59.0,1.3,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,Warmer,more,0.6,14.0,0.72,1.0,28.8,59.0,1.3,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,No Change,more,0.6,14.0,0.72,1.0,28.8,59.0,1.3,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,1.0,0.0,Cooler,more,0.8,17.0,0.64,1.0,29.2,59.0,1.08,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,0.0,Cooler,more,0.9,22.0,0.7,1.0,29.2,59.0,1.08,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-1.0,1.0,Warmer,less,1.1,32.0,0.84,1.0,29.2,59.0,1.08,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,3.0,0.0,Cooler,more,1.1,32.0,0.84,1.0,29.2,59.0,1.08,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-2.0,0.0,Warmer,no change,0.4,8.0,0.7,1.0,26.0,54.0,0.12,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,2.0,0.0,Cooler,more,0.6,12.0,0.84,1.0,26.0,54.0,0.12,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,2.0,0.0,Cooler,more,0.4,8.0,0.72,1.0,26.0,54.0,0.12,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,0.0,1.0,Cooler,more,0.4,9.0,0.75,1.0,26.0,54.0,0.12,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,Cooler,less,0.4,8.0,0.72,1.0,26.0,54.0,0.12,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-3.0,0.0,Warmer,no change,0.3,6.0,0.64,1.0,26.0,54.0,0.12,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,0.0,No Change,more,0.0,5.0,0.66,1.0,24.9,51.0,0.01,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,0.0,1.0,No Change,no change,0.1,5.0,0.75,1.0,24.9,51.0,0.01,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,0.0,1.0,No Change,no change,0.1,5.0,0.75,1.0,24.9,51.0,0.01,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,1.0,0.0,Cooler,more,0.0,5.0,0.7,1.0,24.9,51.0,0.01,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-2.0,1.0,No Change,more,-0.1,5.0,0.64,1.0,24.8,53.0,0.01,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,1.0,Warmer,more,-0.1,5.0,0.64,1.0,24.8,53.0,0.01,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,0.0,1.0,No Change,more,0.1,5.0,0.75,1.0,25.1,50.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,0.0,No Change,more,0.0,5.0,0.7,1.0,25.1,50.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Female,-2.0,0.0,No Change,no change,0.3,7.0,0.84,1.0,25.1,50.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,0.0,Cooler,more,-0.1,5.0,0.64,1.0,25.1,50.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,-1.0,0.0,Warmer,less,0.0,5.0,0.7,1.0,25.1,50.0,0.22,30.8
Winter,Tropical wet savanna,Chennai,Office,Air Conditioned,,Male,0.0,1.0,Cooler,no change,-0.1,5.0,0.64,1.0,25.1,50.0,0.22,30.8
